App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
"U Launcher Lite – FREE Live Cool Themes, Hide Apps",ART_AND_DESIGN,4.7,87510,8.7M,"5,000,000+",Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25M,"50,000,000+",Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8M,"100,000+",Free,0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
Photo Editor Pro,ART_AND_DESIGN,4.3,58767,22M,"10,000,000+",Free,0,Everyone,Art & Design,"April 12, 2019",1.0.7,4.0.3 and up
SketchBook - draw and paint,ART_AND_DESIGN,4.5,215644,64M,"10,000,000+",Free,0,Teen,Art & Design,"March 20, 2020",5.0.0,5.0 and up
PaperColor - Coloring Book,ART_AND_DESIGN,4.2,9867,23M,"1,000,000+",Free,0,Everyone,Art & Design,"February 28, 2019",2.4.0,4.1 and up
ArtFlow: Paint Draw Sketchbook,ART_AND_DESIGN,4.6,34663,31M,"5,000,000+",Free,0,Everyone,Art & Design,"July 5, 2020",2.8.89,4.4 and up
Color by Number - Pixel Art Coloring Book,ART_AND_DESIGN,4.4,11567,12M,"1,000,000+",Free,0,Everyone,Art & Design,"October 10, 2019",1.0.5,4.1 and up
Procreate Pocket,ART_AND_DESIGN,4.7,21567,27M,"1,000,000+",Paid,2.99,Everyone,Art & Design,"December 20, 2019",1.0.1,4.3 and up
Gas Prices (Germany only),AUTO_AND_VEHICLES,4.4,805,5.6M,"50,000+",Free,0,Everyone,Auto & Vehicles,"July 29, 2018",2.5.1,4.4 and up
Extreme Rally Championship,AUTO_AND_VEHICLES,4.2,129,54M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 26, 2018",3.0,4.1 and up
Restart Navigator,AUTO_AND_VEHICLES,4.0,1403,201k,"100,000+",Free,0,Everyone,Auto & Vehicles,"August 26, 2014",1.0.1,2.2 and up
"REG - Check the regnumber, find information about Swedish vehicles",AUTO_AND_VEHICLES,3.9,3971,3.6M,"100,000+",Free,0,Everyone,Auto & Vehicles,"July 30, 2018",2.493,4.4 and up
CityBus Lviv,AUTO_AND_VEHICLES,4.6,534,5.7M,"10,000+",Free,0,Everyone,Auto & Vehicles,"July 8, 2018",1.9.1,4.0.3 and up
Adobe Photoshop Express:Photo Editor Collage Maker,PHOTOGRAPHY,4.3,1046789,59M,"100,000,000+",Free,0,Everyone,Photography,"May 14, 2020",7.5.858,5.0 and up
PicsArt Photo Editor: Pic Video & Collage Maker,PHOTOGRAPHY,4.5,9872345,44M,"500,000,000+",Free,0,Everyone,Photography,"April 28, 2020",17.9.2,5.0 and up
Camera360: Selfie Photo Editor with Funny Sticker,PHOTOGRAPHY,4.4,567890,72M,"100,000,000+",Free,0,Teen,Photography,"March 1, 2020",9.9.6,4.4 and up
Snapseed,PHOTOGRAPHY,4.6,2345678,28M,"100,000,000+",Free,0,Everyone,Photography,"August 7, 2020",2.19.0.201907232,4.4 and up
Filters for Selfie,BEAUTY,4.3,8572,25M,"1,000,000+",Free,0,Everyone,Beauty,"May 10, 2018",1.1.0,4.0 and up
Tie - Always be happy,BEAUTY,4.7,964,9.0M,"50,000+",Free,0,Everyone,Beauty,"June 21, 2018",4.0,4.2 and up
Ulta Beauty,BEAUTY,4.7,42050,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,"June 5, 2018",5.4,5.0 and up
Prom MakeUp Tutorial,BEAUTY,4.8,104,12M,"10,000+",Free,0,Everyone,Beauty,"June 26, 2018",1.3,4.0.3 and up
Selfie Camera,BEAUTY,4.2,17934,Varies with device,"1,000,000+",Free,0,Everyone,Beauty,"September 12, 2017",Varies with device,Varies with device
Sweet Selfie Beauty Camera,BEAUTY,4.3,601,35M,"100,000+",Free,0,Everyone,Beauty,"June 2, 2018",2.0.0,4.0 and up
Colors of white in Urdu,BEAUTY,4.5,36,6.7M,"10,000+",Free,0,Everyone,Beauty,"July 26, 2018",6.0,4.0 and up
E-Book Read - Read Book for free,BOOKS_AND_REFERENCE,4.5,1857,4.9M,"50,000+",Free,0,Everyone,Books & Reference,"August 3, 2018",1.3.2,4.4 and up
Download free book with green book,BOOKS_AND_REFERENCE,4.6,4478,9.5M,"100,000+",Free,0,Everyone 10+,Books & Reference,"July 31, 2017",1.1,4.0 and up
Wikipedia,BOOKS_AND_REFERENCE,4.4,577550,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"August 2, 2018",Varies with device,Varies with device
Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080,Varies with device,"100,000,000+",Free,0,Teen,Books & Reference,"July 27, 2018",Varies with device,Varies with device
Cool Reader,BOOKS_AND_REFERENCE,4.5,246315,Varies with device,"10,000,000+",Free,0,Everyone,Books & Reference,"July 17, 2015",Varies with device,1.5 and up
ADP Mobile Solutions,BUSINESS,4.3,85185,29M,"5,000,000+",Free,0,Everyone,Business,"July 17, 2018",3.4.2,5.0 and up
Snag - Jobs Hiring Now,BUSINESS,4.3,32584,Varies with device,"1,000,000+",Free,0,Everyone,Business,"May 4, 2018",Varies with device,Varies with device
Docs To Go™ Free Office Suite,BUSINESS,4.1,217730,Varies with device,"50,000,000+",Free,0,Everyone,Business,"April 2, 2018",Varies with device,Varies with device
Google My Business,BUSINESS,4.4,70991,Varies with device,"5,000,000+",Free,0,Everyone,Business,"July 24, 2018",2.19.0.204537701,4.4 and up
OfficeSuite : Free Office + PDF Editor,BUSINESS,4.3,1002861,35M,"100,000,000+",Free,0,Everyone,Business,"August 2, 2018",9.7.14188,4.1 and up
USPS MOBILE®,BUSINESS,3.9,16589,9.1M,"1,000,000+",Free,0,Everyone,Business,"June 14, 2018",4.9.10,4.0.3 and up
Comic Es - Shojo manga / love comics free of charge ♪ ♪,COMICS,3.9,2181,10M,"100,000+",Free,0,Teen,Comics,"March 5, 2018",1.2.12,4.0.3 and up
comico Popular Original Cartoon Updated Everyday Comico,COMICS,3.2,93965,15M,"5,000,000+",Free,0,Teen,Comics,"July 3, 2018",6.3.0,4.0.3 and up
Daily Manga - Comic & Webtoon,COMICS,3.2,1446,7.1M,"100,000+",Free,0,Mature 17+,Comics,"May 18, 2018",1.0,4.0.3 and up
"漫咖 Comics - Manga,Novel and Stories",COMICS,4.1,12088,21M,"1,000,000+",Free,0,Mature 17+,Comics,"July 6, 2018",2.3.1,4.0.3 and up
Emmanuella Funny Videos 2018,COMICS,4.5,314,6.1M,"100,000+",Free,0,Everyone,Comics,"May 23, 2018",3.1.0,4.1 and up
DC Comics,COMICS,4.2,25671,Varies with device,"1,000,000+",Free,0,Teen,Comics,"June 5, 2018",Varies with device,Varies with device
Manga Zero - Japanese cartoon and comic reader,COMICS,4.2,15194,15M,"1,000,000+",Free,0,Teen,Comics,"July 19, 2018",4.7.3,4.2 and up
Marvel Unlimited,COMICS,3.7,22551,11M,"1,000,000+",Free,0,Teen,Comics,"July 24, 2018",3.16.0,4.4 and up
Messenger – Text and Video Chat for Free,COMMUNICATION,4.0,56642847,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
WhatsApp Messenger,COMMUNICATION,4.4,69119316,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 3, 2018",Varies with device,Varies with device
Messenger for SMS,COMMUNICATION,4.3,125257,17M,"10,000,000+",Free,0,Teen,Communication,"June 6, 2018",1.8.9,4.1 and up
Google Chrome: Fast & Secure,COMMUNICATION,4.3,9642995,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 1, 2018",Varies with device,Varies with device
Messenger Lite: Free Calls & Messages,COMMUNICATION,4.4,1429035,Varies with device,"100,000,000+",Free,0,Everyone,Communication,"July 25, 2018",37.0.0.7.163,2.3 and up
Gmail,COMMUNICATION,4.3,4604324,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"August 2, 2018",Varies with device,Varies with device
Hangouts,COMMUNICATION,4.0,3419249,Varies with device,"1,000,000,000+",Free,0,Everyone,Communication,"July 21, 2018",Varies with device,Varies with device
Viber Messenger,COMMUNICATION,4.3,11334799,Varies with device,"500,000,000+",Free,0,Everyone,Communication,"July 18, 2018",Varies with device,Varies with device
My Tele2,COMMUNICATION,4.3,158679,8.8M,"5,000,000+",Free,0,Everyone,Communication,"August 3, 2018",2.4.1,4.4 and up
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44M,"1,000,000+",Free,0,Mature 17+,Dating,"August 3, 2018",4.4B,4.1 and up
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13202,6.1M,"1,000,000+",Free,0,Mature 17+,Dating,"July 7, 2018",2.4.1,4.1 and up
"Blendr - Chat, Flirt & Meet",DATING,4.0,28671,Varies with device,"1,000,000+",Free,0,Mature 17+,Dating,"August 1, 2018",Varies with device,Varies with device
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",Free,0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",Free,0,Mature 17+,Dating,"July 17, 2018",2.45,4.1 and up
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up
Khan Academy,EDUCATION,4.6,85375,21M,"5,000,000+",Free,0,Everyone,Education,"July 27, 2018",5.0.0,4.1 and up
TED,EDUCATION,4.6,181893,18M,"10,000,000+",Free,0,Everyone 10+,Education,"July 27, 2018",3.2.5,4.1 and up
Quizlet: Learn Languages & Vocab with Flashcards,EDUCATION,4.6,211856,Varies with device,"10,000,000+",Free,0,Everyone,Education,"August 1, 2018",Varies with device,Varies with device
Udemy - Online Courses,EDUCATION,4.5,99020,18M,"1,000,000+",Free,0,Everyone,Education,"August 2, 2018",5.0.4,5.0 and up
Coursera: Online courses,EDUCATION,4.4,90481,Varies with device,"5,000,000+",Free,0,Everyone,Education,"July 27, 2018",Varies with device,Varies with device
"edX - Online Courses by Harvard, MIT & more",EDUCATION,4.6,32381,10M,"1,000,000+",Free,0,Everyone 10+,Education,"July 15, 2018",2.15.1,4.1 and up
Elevate - Brain Training Games,EDUCATION,4.5,248912,Varies with device,"5,000,000+",Free,0,Everyone,Education,"July 30, 2018",Varies with device,Varies with device
NeuroNation - Focus and Brain Training,EDUCATION,4.5,248555,Varies with device,"5,000,000+",Free,0,Everyone,Education;Brain Games,"May 23, 2018",Varies with device,4.0.3 and up
Lumosity: #1 Brain Games & Cognitive Training App,EDUCATION,4.2,215301,Varies with device,"10,000,000+",Free,0,Everyone,Education,"August 1, 2018",Varies with device,Varies with device
Peak – Brain Games & Training,EDUCATION,4.4,272145,Varies with device,"10,000,000+",Free,0,Everyone,Education;Brain Games,"August 3, 2018",3.14.15,5.0 and up
Memorado - Brain Games,EDUCATION,4.4,56897,97M,"1,000,000+",Free,0,Everyone,Education;Brain Games,"January 16, 2017",1.10.0,4.1 and up
Lynda - Online Training Videos,EDUCATION,4.2,8599,17M,"1,000,000+",Free,0,Everyone,Education,"July 11, 2018",4.9.10,4.1 and up
Training schedule - AllUniver,EDUCATION,4.1,702,7.6M,"10,000+",Free,0,Everyone,Education,"October 16, 2017",5.0,4.4 and up
Remind: School Communication,EDUCATION,4.5,108613,Varies with device,"10,000,000+",Free,0,Everyone,Education,"August 3, 2018",Varies with device,Varies with device
Google Classroom,EDUCATION,4.2,69498,Varies with device,"10,000,000+",Free,0,Everyone,Education,"July 19, 2018",Varies with device,Varies with device
ClassDojo,EDUCATION,4.4,148550,59M,"10,000,000+",Free,0,Everyone,Education;Education,"August 3, 2018",4.21.1,4.1 and up
Duolingo: Learn Languages Free,EDUCATION,4.7,6290507,Varies with device,"100,000,000+",Free,0,Everyone,Education;Education,"August 1, 2018",Varies with device,Varies with device
Lerni. Learn languages.,EDUCATION,4.0,3847,6.9M,"500,000+",Free,0,Everyone,Education,"October 25, 2017",3.1.3,3.0 and up
Learn 50 languages,EDUCATION,4.4,55256,14M,"5,000,000+",Free,0,Everyone,Education,"June 19, 2018",10.9.1,4.0 and up
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84309,41M,"5,000,000+",Free,0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up
Mango Languages: Lovable Language Courses,EDUCATION,4.0,4815,19M,"500,000+",Free,0,Everyone,Education,"July 17, 2018",4.2.3,4.2 and up
Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,4.5,172508,76M,"5,000,000+",Free,0,Everyone,Education;Education,"June 27, 2018",5.2.1,5.0 and up
"Learn languages, grammar & vocabulary with Memrise",EDUCATION,4.7,1107948,Varies with device,"10,000,000+",Free,0,Everyone,Education,"August 2, 2018",Varies with device,Varies with device
Babbel – Learn Languages,EDUCATION,4.3,266948,21M,"10,000,000+",Free,0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up
AMC Theatres,ENTERTAINMENT,4.3,44550,72M,"1,000,000+",Free,0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up
IMDb Movies & TV,ENTERTAINMENT,4.2,501497,12M,"100,000,000+",Free,0,Teen,Entertainment,"July 26, 2018",Varies with device,Varies with device
Netflix,ENTERTAINMENT,4.4,5456208,Varies with device,"100,000,000+",Free,0,Teen,Entertainment,"July 31, 2018",Varies with device,Varies with device
Food Network,ENTERTAINMENT,4.1,7813,Varies with device,"500,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
Cooking Channel,ENTERTAINMENT,4.1,1033,16M,"100,000+",Free,0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device
Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6M,"100,000+",Free,0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up
"VRV: Anime, game videos & more",ENTERTAINMENT,3.9,15254,Varies with device,"1,000,000+",Free,0,Teen,Entertainment,"June 19, 2018",Varies with device,Varies with device
DramaFever: Stream Asian Drama Shows & Movies,ENTERTAINMENT,4.2,155234,22M,"1,000,000+",Free,0,Teen,Entertainment,"August 1, 2018",01.01.66,4.4 and up
Crunchyroll - Everything Anime,ENTERTAINMENT,3.7,310066,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"March 5, 2018",Varies with device,Varies with device
Investigation Discovery GO,ENTERTAINMENT,4.5,12216,13M,"1,000,000+",Free,0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up
Crackle - Free TV & Movies,ENTERTAINMENT,3.7,388089,Varies with device,"10,000,000+",Free,0,Teen,Entertainment,"April 12, 2018",Varies with device,Varies with device
CBS - Full Episodes & Live TV,ENTERTAINMENT,3.8,92058,12M,"10,000,000+",Free,0,Teen,Entertainment,"July 20, 2018",4.8.6,4.1 and up
STARZ,ENTERTAINMENT,4.3,88185,Varies with device,"10,000,000+",Free,0,Mature 17+,Entertainment,"June 20, 2018",Varies with device,Varies with device
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,23M,"50,000+",Free,0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up
Nick,ENTERTAINMENT,4.2,123279,25M,"10,000,000+",Free,0,Everyone 10+,Entertainment;Music & Video,"January 24, 2018",2.0.8,4.4 and up
Digit Save Money Automatically,FINANCE,4.5,8188,22M,"100,000+",Free,0,Everyone,Finance,"July 31, 2018",2.29.01,4.1 and up
Stash: Invest. Learn. Save.,FINANCE,4.2,11919,23M,"1,000,000+",Free,0,Everyone,Finance,"July 27, 2018",1.13.2.11,4.4 and up
Acorns - Invest Spare Change,FINANCE,4.3,45957,Varies with device,"1,000,000+",Free,0,Everyone,Finance,"July 31, 2018",Varies with device,Varies with device
Google Pay,FINANCE,4.2,347838,Varies with device,"100,000,000+",Free,0,Everyone,Finance,"July 26, 2018",2.70.206190089,Varies with device
"Money Lover: Expense Tracker, Budget Planner",FINANCE,4.4,126431,Varies with device,"1,000,000+",Free,0,Everyone,Finance,"August 1, 2018",Varies with device,Varies with device
Expense IQ Money Manager,FINANCE,4.4,21570,27M,"1,000,000+",Free,0,Everyone,Finance,"June 19, 2018",2.0.4,4.0 and up
Money Manager Expense & Budget,FINANCE,4.6,134564,Varies with device,"5,000,000+",Free,0,Everyone,Finance,"July 25, 2018",Varies with device,Varies with device
Wells Fargo Daily Change,FINANCE,4.2,283,5.0M,"100,000+",Free,0,Everyone,Finance,"April 26, 2018",2.5.0.26,5.0 and up
"Prism Pay Bills, Track Money, Personal Finance",FINANCE,4.6,16961,32M,"500,000+",Free,0,Everyone,Finance,"August 4, 2018",2.12.100,4.1 and up
Monefy - Money Manager,FINANCE,4.6,111254,7.4M,"1,000,000+",Free,0,Everyone,Finance,"July 3, 2018",1.8.9,4.0 and up
Amex Mobile,FINANCE,4.3,24729,32M,"1,000,000+",Free,0,Everyone,Finance,"August 3, 2018",6.7.0,5.0 and up
Citi Mobile®,FINANCE,4.0,78306,46M,"5,000,000+",Free,0,Everyone,Finance,"July 31, 2018",9.9.0,4.4 and up
Navy Federal Credit Union,FINANCE,4.4,43313,40M,"1,000,000+",Free,0,Everyone,Finance,"July 9, 2018",5.16.2,4.1 and up
Chase Mobile,FINANCE,4.6,1374549,32M,"10,000,000+",Free,0,Everyone,Finance,"July 23, 2018",3.52,5.0 and up
HDFC Bank MobileBanking,FINANCE,4.2,208463,Varies with device,"10,000,000+",Free,0,Everyone,Finance,"July 26, 2018",Varies with device,Varies with device
Barclays US for Android,FINANCE,4.1,6998,24M,"1,000,000+",Free,0,Everyone,Finance,"August 1, 2018",6.29.37589,5.0 and up
McDonald's,FOOD_AND_DRINK,3.6,145323,42M,"10,000,000+",Free,0,Everyone,Food & Drink,"July 31, 2018",5.15.0,4.4 and up
Easy and Fast Recipes,FOOD_AND_DRINK,NaN,95,12M,"50,000+",Free,0,Everyone,Food & Drink,"January 6, 2018",3.0.1,2.3 and up
Cookpad - FREE recipe search makes fun cooking · musical making!,FOOD_AND_DRINK,4.1,64784,13M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 2, 2018",18.6.0.10,5.0 and up
DELISH KITCHEN - FREE recipe movies make food fun and easy!,FOOD_AND_DRINK,4.6,32997,13M,"1,000,000+",Free,0,Everyone,Food & Drink,"August 4, 2018",2.2.7,4.1 and up
Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,NaN,82,4.9M,"10,000+",Free,0,Everyone,Food & Drink,"June 23, 2018",1.1,4.1 and up
Easy Recipes,FOOD_AND_DRINK,4.7,2707,8.9M,"100,000+",Free,0,Everyone,Food & Drink,"May 15, 2018",2.12,4.0.3 and up
Delicious Recipes,FOOD_AND_DRINK,4.7,129737,Varies with device,"1,000,000+",Free,0,Teen,Food & Drink,"August 3, 2018",Varies with device,Varies with device
Tastely,FOOD_AND_DRINK,4.7,611136,19M,"10,000,000+",Free,0,Everyone,Food & Drink,"July 13, 2018",3.2.0d,4.0.3 and up
Pastry & Cooking (Without Net),FOOD_AND_DRINK,4.7,6118,Varies with device,"1,000,000+",Free,0,Everyone,Food & Drink,"July 7, 2018",Varies with device,Varies with device
Frigo Magic: Easy recipe idea and anti-waste,FOOD_AND_DRINK,4.1,2473,14M,"500,000+",Free,0,Everyone,Food & Drink,"July 28, 2018",3.1.5,4.4 and up
McDonald's - McDonald's Japan,FOOD_AND_DRINK,3.4,109784,64M,"10,000,000+",Free,0,Everyone,Food & Drink,"August 3, 2018",4.0.30,4.0.3 and up
Weight Loss Running by Verv,HEALTH_AND_FITNESS,4.5,27396,59M,"1,000,000+",Free,0,Mature 17+,Health & Fitness,"July 16, 2018",6.5.3,4.1 and up
Nike+ Run Club,HEALTH_AND_FITNESS,4.4,708710,Varies with device,"10,000,000+",Free,0,Everyone,Health & Fitness,"July 12, 2018",2.17.0,4.4 and up
Seven - 7 Minute Workout Training Challenge,HEALTH_AND_FITNESS,4.5,75571,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",7.2.5,Varies with device
"YAZIO Calorie Counter, Nutrition Diary & Diet Plan",HEALTH_AND_FITNESS,4.6,117176,Varies with device,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 7, 2018",Varies with device,Varies with device
"Technutri - calorie counter, diet and carb tracker",HEALTH_AND_FITNESS,4.4,70416,23M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 27, 2018",3.19.4,4.1 and up
Couch to 5K by RunDouble,HEALTH_AND_FITNESS,4.7,15674,6.1M,"1,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",4.5.4,4.1 and up
Fooducate Healthy Weight Loss & Calorie Counter,HEALTH_AND_FITNESS,4.4,14402,Varies with device,"1,000,000+",Free,0,Everyone,Health & Fitness,"August 3, 2018",Varies with device,Varies with device
Weight Watchers Mobile,HEALTH_AND_FITNESS,4.2,270294,58M,"5,000,000+",Free,0,Everyone,Health & Fitness,"July 31, 2018",6.15.0,4.1 and up
Homestyler Interior Design & Decorating Ideas,LIFESTYLE,4.1,78298,29M,"5,000,000+",Free,0,Everyone,Lifestyle,"August 2, 2018",3.1.2.1,4.1 and up
JOANN - Crafts & Coupons,LIFESTYLE,4.6,34802,12M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 22, 2018",5.2.2,4.3 and up
Wheretoget: Shop in style,LIFESTYLE,4.1,6808,12M,"500,000+",Free,0,Teen,Lifestyle,"June 5, 2017",3.2.0,4.1 and up
My Dressing - Fashion closet,LIFESTYLE,4.1,12452,Varies with device,"500,000+",Free,0,Everyone,Lifestyle,"January 26, 2017",Varies with device,Varies with device
Chictopia,LIFESTYLE,4.1,360,4.6M,"10,000+",Free,0,Everyone,Lifestyle,"April 30, 2014",1.6.2,2.2 and up
Scarf Fashion Designer,LIFESTYLE,4.4,16637,10M,"1,000,000+",Free,0,Everyone,Lifestyle,"June 18, 2017",1.8,2.3 and up
Fashion in Vogue,LIFESTYLE,3.8,1797,6.8M,"100,000+",Free,0,Everyone,Lifestyle,"September 27, 2016",2.0,4.3 and up
Zara,LIFESTYLE,4.3,95904,33M,"10,000,000+",Free,0,Everyone,Lifestyle,"July 30, 2018",4.1.0,4.1 and up
Wheretoget: Shop in style,LIFESTYLE,4.1,6808,12M,"500,000+",Free,0,Teen,Lifestyle,"June 5, 2017",3.2.0,4.1 and up
My Dressing - Fashion closet,LIFESTYLE,4.1,12452,Varies with device,"500,000+",Free,0,Everyone,Lifestyle,"January 26, 2017",Varies with device,Varies with device
Chictopia,LIFESTYLE,4.1,360,4.6M,"10,000+",Free,0,Everyone,Lifestyle,"April 30, 2014",1.6.2,2.2 and up